Whipped,"Romantic comedy"
"The Last Thing He Wanted","Political thriller"
"Just Say Yes","Romantic comedy"
"Squared Love","Romantic comedy"
Desperados,"Romantic comedy"
"A Christmas Prince: The Royal Wedding","Romantic comedy"
"To Each, Her Own","Romantic comedy"
"A Christmas Prince: The Royal Baby","Romantic comedy"
"The Princess Switch: Switched Again","Romantic comedy"
"Love Wedding Repeat","Romantic comedy"
